iter	Passed	Remaining
903	9317	42218
904	9327	42205
905	9336	42191
906	9345	42175
907	9355	42159
908	9364	42144
909	9373	42128
910	9382	42112
911	9391	42095
912	9400	42082
913	9410	42068
914	9420	42057
915	9429	42039
916	9436	42016
917	9446	42004
918	9454	41982
919	9462	41966
920	9470	41945
921	9479	41927
922	9486	41904
923	9495	41887
924	9503	41866
925	9512	41849
926	9519	41826
927	9528	41811
928	9536	41792
929	9545	41774
930	9554	41757
931	9564	41748
932	9575	41742
933	9586	41732
934	9595	41716
935	9603	41699
936	9612	41682
937	9621	41667
938	9630	41651
939	9639	41634
940	9647	41614
941	9656	41599
942	9664	41579
943	9674	41568
944	9690	41581
945	9709	41611
946	9719	41596
947	9727	41577
948	9735	41557
949	9744	41540
950	9752	41522
951	9760	41502
952	9768	41481
953	9776	41460
954	9784	41442
955	9791	41420
956	9799	41400
957	9807	41380
958	9815	41359
959	9822	41337
960	9830	41316
961	9839	41299
962	9847	41280
963	9855	41261
964	9865	41249
965	9873	41230
966	9881	41211
967	9888	41190
968	9897	41172
969	9905	41152
970	9912	41130
971	9919	41108
972	9927	41088
973	9936	41070
974	9950	41076
975	9957	41056
976	9966	41037
977	9981	41048
978	9997	41061
979	10007	41050
980	10016	41034
981	10023	41014
982	10032	40997
983	10039	40976
984	10048	40958
985	10056	40940
986	10066	40929
987	10073	40907
988	10082	40888
989	10089	40867
990	10098	40853
991	10106	40831
992	10114	40813
993	10122	40795
994	10130	40778
995	10139	40762
996	10148	40745
997	10157	40731
998	10165	40713
999	10174	40697
1000	10182	40680
1001	10191	40664
1002	10200	40647
1003	10207	40628
1004	10215	40608
1005	10224	40591
1006	10237	40592
1007	10247	40584
1008	10255	40565
1009	10270	40572
1010	10278	40555
1011	10286	40535
1012	10294	40517
1013	10302	40500
1014	10310	40481
1015	10318	40462
1016	10327	40445
1017	10335	40429
1018	10344	40411
1019	10352	40393
1020	10360	40375
1021	10367	40354
1022	10376	40339
1023	10384	40319
1024	10393	40305
1025	10400	40285
1026	10408	40264
1027	10415	40243
1028	10423	40224
1029	10431	40205
1030	10440	40192
1031	10447	40172
1032	10458	40163
1033	10468	40153
1034	10478	40143
1035	10489	40135
1036	10497	40116
1037	10504	40094
1038	10511	40074
1039	10520	40057
1040	10527	40037
1041	10536	40020
1042	10543	40001
1043	10552	39984
1044	10560	39967
1045	10568	39950
1046	10577	39935
1047	10585	39919
1048	10593	39899
1049	10600	39879
1050	10608	39860
1051	10617	39845
1052	10624	39825
1053	10634	39815
1054	10642	39795
1055	10651	39779
1056	10658	39760
1057	10667	39744
1058	10674	39723
1059	10682	39708
1060	10690	39690
1061	10698	39671
1062	10705	39651
1063	10714	39634
1064	10721	39614
1065	10730	39598
1066	10737	39579
1067	10745	39562
1068	10753	39542
1069	10761	39526
1070	10769	39507
1071	10777	39489
1072	10785	39472
1073	10793	39456
1074	10801	39436
1075	10808	39418
1076	10817	39404
1077	10826	39388
1078	10834	39370
1079	10842	39354
1080	10850	39335
1081	10858	39319
1082	10867	39304
1083	10877	39297
1084	10888	39287
1085	10900	39285
1086	10909	39271
1087	10917	39253
1088	10926	39240
1089	10934	39221
1090	10942	39207
1091	10951	39191
1092	10960	39180
1093	10968	39162
1094	10978	39153
1095	10986	39135
1096	10995	39122
1097	11004	39107
1098	11013	39092
1099	11021	39077
1100	11029	39060
1101	11050	39086
1102	11065	39097
1103	11075	39084
1104	11082	39065
1105	11091	39052
1106	11099	39034
1107	11108	39018
1108	11115	39001
1109	11124	38987
1110	11132	38968
1111	11140	38952
1112	11147	38932
1113	11156	38917
1114	11164	38899
1115	11175	38893
1116	11185	38884
1117	11193	38866
1118	11201	38848
1119	11209	38834
1120	11219	38821
1121	11227	38804
1122	11235	38789
1123	11243	38772
1124	11252	38757
1125	11259	38739
1126	11268	38725
1127	11276	38708
1128	11284	38690
1129	11292	38672
1130	11302	38663
1131	11313	38656
1132	11324	38649
1133	11334	38640
1134	11342	38623
1135	11351	38610
1136	11359	38593
1137	11368	38579
1138	11376	38564
1139	11383	38545
1140	11397	38549
1141	11405	38532
1142	11413	38515
1143	11422	38502
1144	11431	38488
1145	11439	38472
1146	11448	38457
1147	11456	38439
1148	11465	38428
1149	11472	38409
1150	11482	38397
1151	11491	38384
1152	11500	38370
1153	11507	38353
1154	11516	38338
1155	11524	38321
1156	11533	38307
1157	11541	38292
1158	11560	38310
1159	11574	38316
1160	11585	38307
1161	11605	38331
1162	11617	38329
1163	11627	38319
1164	11637	38308
1165	11647	38299
1166	11656	38284
1167	11668	38281
1168	11677	38269
1169	11685	38253
1170	11694	38240
1171	11703	38225
1172	11712	38214
1173	11721	38199
1174	11730	38186
1175	11742	38184
1176	11754	38178
1177	11769	38185
1178	11781	38181
1179	11790	38168
1180	11798	38153
1181	11812	38157
1182	11820	38139
1183	11829	38127
1184	11839	38115
1185	11852	38114
1186	11859	38097
1187	11871	38091
1188	11879	38076
1189	11888	38064
1190	11898	38053
1191	11908	38041
1192	11919	38036
1193	11928	38022
1194	11938	38014
1195	11947	38000
1196	11956	37986
1197	11965	37975
1198	11981	37983
1199	11991	37973
1200	12000	37960
1201	12008	37944
1202	12018	37933
1203	12026	37916
1204	12041	37922
1205	12051	37911
1206	12059	37896
1207	12070	37888
1208	12078	37875
1209	12086	37858
1210	12096	37847
1211	12104	37831
1212	12114	37820
1213	12121	37802
1214	12131	37791
1215	12139	37775
1216	12148	37763
1217	12157	37750
1218	12181	37782
1219	12199	37798
1220	12213	37801
1221	12222	37787
1222	12234	37785
1223	12260	37823
1224	12281	37847
1225	12296	37851
1226	12313	37863
1227	12334	37888
1228	12352	37900
1229	12372	37923
1230	12391	37938
1231	12408	37951
1232	12426	37963
1233	12443	37974
1234	12461	37990
1235	12480	38008
1236	12500	38027
1237	12521	38048
1238	12539	38063
1239	12577	38137
1240	12603	38175
1241	12621	38189
1242	12643	38215
1243	12665	38239
1244	12683	38252
1245	12702	38270
1246	12712	38260
1247	12724	38256
1248	12737	38252
1249	12750	38250
1250	12760	38241
1251	12772	38236
1252	12791	38252
1253	12816	38284
1254	12837	38309
1255	12857	38325
1256	12871	38328
1257	12890	38344
1258	12907	38354
1259	12924	38361
1260	12939	38368
1261	12956	38378
1262	12971	38381
1263	12986	38384
1264	13005	38398
1265	13022	38408
1266	13036	38411
1267	13057	38430
1268	13072	38434
1269	13098	38469
1270	13125	38508
1271	13147	38533
1272	13163	38539
1273	13179	38545
1274	13193	38544
1275	13206	38543
1276	13220	38543
1277	13232	38538
1278	13245	38536
1279	13258	38531
1280	13268	38519
1281	13278	38509
1282	13290	38503
1283	13299	38490
1284	13310	38481
1285	13328	38493
1286	13340	38486
1287	13349	38472
1288	13358	38460
1289	13369	38450
1290	13378	38435
1291	13397	38450
1292	13418	38469
1293	13428	38458
1294	13440	38454
1295	13453	38450
1296	13468	38453
1297	13478	38442
1298	13489	38432
1299	13500	38425
1300	13509	38410
1301	13520	38402
1302	13530	38389
1303	13539	38375
1304	13549	38364
1305	13558	38350
1306	13569	38341
1307	13580	38331
1308	13591	38323
1309	13604	38322
1310	13618	38320
1311	13629	38312
1312	13638	38296
1313	13649	38289
1314	13657	38273
1315	13668	38263
1316	13680	38256
1317	13688	38240
1318	13699	38231
1319	13709	38219
1320	13717	38204
1321	13729	38197
1322	13738	38183
1323	13748	38171
1324	13758	38160
1325	13766	38144
1326	13779	38141
1327	13788	38125
1328	13797	38112
1329	13807	38100
1330	13816	38085
1331	13826	38074
1332	13834	38058
1333	13846	38051
1334	13856	38039
1335	13864	38023
1336	13875	38015
1337	13887	38009
1338	13899	38002
1339	13914	38004
1340	13927	38000
1341	13938	37993
1342	13949	37985
1343	13961	37978
1344	13971	37968
1345	13980	37951
1346	13990	37941
1347	13999	37926
1348	14008	37913
1349	14018	37901
1350	14027	37888
1351	14039	37880
1352	14047	37866
1353	14058	37855
1354	14068	37843
1355	14076	37828
1356	14086	37817
1357	14095	37801
1358	14105	37790
1359	14113	37774
1360	14123	37761
1361	14134	37755
1362	14142	37738
1363	14154	37730
1364	14161	37713
1365	14171	37700
1366	14180	37687
1367	14190	37676
1368	14204	37674
1369	14219	37675
